# time  DeltaF
2500 7.91412
5000 7.70008
7500 6.25084
10000 6.33324
12500 6.61946
15000 6.84263
17500 7.14593
20000 7.14535
22500 7.13288
25000 7.06493
27500 6.83772
30000 6.33246
32500 6.23412
35000 6.23762
37500 6.24698
40000 6.2655
42500 6.30351
45000 6.3619
47500 6.44226
50000 6.55329
52500 6.66925
55000 6.83412
57500 6.93115
60000 6.93068
62500 6.92887
65000 6.92389
67500 6.91551
70000 6.89474
72500 6.85127
75000 6.79464
77500 6.70372
80000 6.59138
82500 6.42745
85000 6.25724
87500 6.09732
90000 6.09783
92500 6.09878
95000 6.10089
97500 6.10308
100000 6.10739
102500 6.11437
105000 6.12441
107500 6.13469
110000 6.14728
112500 6.16891
115000 6.19062
117500 6.21934
120000 6.25242
122500 6.30084
125000 6.34592
127500 6.39637
130000 6.45688
132500 6.52911
135000 6.61346
137500 6.69411
140000 6.77806
142500 6.85961
145000 6.95167
147500 7.03297
150000 7.11602
152500 7.21672
155000 7.28875
157500 7.38547
160000 7.48139
162500 7.56005
165000 7.64087
167500 7.71848
170000 7.79465
172500 7.86351
175000 7.94298
177500 8.02728
180000 8.06029
182500 8.06025
185000 8.0602
187500 8.0601
190000 8.05991
192500 8.05963
195000 8.05906
197500 8.05832
200000 8.05714
202500 8.05556
205000 8.0535
207500 8.05086
210000 8.04745
212500 8.04283
215000 8.03538
217500 8.02805
220000 8.01893
222500 8.00826
225000 7.99707
227500 7.98646
230000 7.96918
232500 7.94977
235000 7.93104
237500 7.90511
240000 7.87662
242500 7.84579
245000 7.81398
247500 7.78114
250000 7.74388
252500 7.69617
255000 7.63162
257500 7.58249
260000 7.52868
262500 7.46468
265000 7.41451
267500 7.36015
270000 7.30667
272500 7.23097
275000 7.16313
277500 7.09973
280000 7.04084
282500 7.03072
285000 7.03081
287500 7.03092
290000 7.03107
292500 7.03123
295000 7.03145
297500 7.0317
300000 7.03197
302500 7.03227
305000 7.03259
307500 7.03292
310000 7.03328
312500 7.03368
315000 7.03422
317500 7.03479
320000 7.03556
322500 7.03631
325000 7.03703
327500 7.03777
330000 7.03855
332500 7.0394
335000 7.04055
337500 7.04164
340000 7.04264
342500 7.0441
345000 7.04592
347500 7.04778
350000 7.0499
352500 7.05213
355000 7.05457
357500 7.05724
360000 7.05922
362500 7.0613
365000 7.06351
367500 7.06585
370000 7.06848
372500 7.07111
375000 7.07368
377500 7.07674
380000 7.07985
382500 7.08318
385000 7.08826
387500 7.09189
390000 7.0961
392500 7.09979
395000 7.10345
397500 7.10781
400000 7.11335
402500 7.12009
405000 7.12636
407500 7.1339
410000 7.14118
412500 7.14724
415000 7.15298
417500 7.15836
420000 7.16408
422500 7.16993
425000 7.17614
427500 7.18245
430000 7.1892
432500 7.19831
435000 7.20695
437500 7.21402
440000 7.22092
442500 7.22853
445000 7.23664
447500 7.24437
450000 7.2524
452500 7.26285
455000 7.27335
457500 7.28195
460000 7.29125
462500 7.30563
465000 7.3155
467500 7.32533
470000 7.33678
472500 7.34792
475000 7.3589
477500 7.37112
480000 7.38129
482500 7.39248
485000 7.40365
487500 7.41538
490000 7.42799
492500 7.43999
495000 7.45713
497500 7.47666
500000 7.49593
502500 7.51057
505000 7.52174
507500 7.53533
510000 7.55232
512500 7.56376
515000 7.57801
517500 7.59403
520000 7.60798
522500 7.62333
525000 7.63939
527500 7.65164
530000 7.6629
532500 7.67405
535000 7.69109
537500 7.70841
540000 7.725
542500 7.74207
545000 7.76077
547500 7.779
550000 7.79717
552500 7.81486
555000 7.83387
557500 7.84701
560000 7.85995
562500 7.87315
565000 7.89029
567500 7.90869
570000 7.92632
572500 7.92631
575000 7.92631
577500 7.9263
580000 7.92628
582500 7.92627
585000 7.92625
587500 7.92623
590000 7.92621
592500 7.92618
595000 7.92614
597500 7.9261
600000 7.92606
602500 7.92601
605000 7.92595
607500 7.92588
610000 7.92579
612500 7.9257
615000 7.92559
617500 7.92546
620000 7.92532
622500 7.92515
625000 7.92496
627500 7.92476
630000 7.92452
632500 7.92428
635000 7.924
637500 7.92369
640000 7.92321
642500 7.92272
645000 7.92231
647500 7.92187
650000 7.92137
652500 7.92085
655000 7.92011
657500 7.91913
660000 7.91822
662500 7.91746
665000 7.9166
667500 7.91562
670000 7.91436
672500 7.91283
675000 7.91124
677500 7.9099
680000 7.90855
682500 7.90702
685000 7.90551
687500 7.9037
690000 7.90118
692500 7.89921
695000 7.89725
697500 7.89496
700000 7.89255
702500 7.88974
705000 7.8868
707500 7.88281
710000 7.87873
712500 7.87517
715000 7.87093
717500 7.86701
720000 7.86295
722500 7.85737
725000 7.85147
727500 7.84735
730000 7.84271
732500 7.83793
735000 7.83295
737500 7.82644
740000 7.81983
742500 7.8139
745000 7.80527
747500 7.7972
750000 7.78761
752500 7.77894
755000 7.77043
757500 7.7624
760000 7.75177
762500 7.74338
765000 7.73487
767500 7.72404
770000 7.714
772500 7.70478
775000 7.69582
777500 7.68451
780000 7.67432
782500 7.66321
785000 7.65183
787500 7.63718
790000 7.62296
792500 7.60911
795000 7.59695
797500 7.58242
800000 7.56477
802500 7.54594
805000 7.52788
807500 7.51211
810000 7.49942
812500 7.48527
815000 7.46803
817500 7.44916
820000 7.42889
822500 7.40895
825000 7.38931
827500 7.37173
830000 7.35355
832500 7.33514
835000 7.31307
837500 7.29226
840000 7.27197
842500 7.24839
845000 7.22591
847500 7.20359
850000 7.18144
852500 7.16027
855000 7.16036
857500 7.16045
860000 7.16055
862500 7.16065
865000 7.16077
867500 7.16088
870000 7.161
872500 7.16114
875000 7.16128
877500 7.16144
880000 7.1616
882500 7.16176
885000 7.16192
887500 7.1621
890000 7.16229
892500 7.1625
895000 7.16272
897500 7.16292
900000 7.16311
902500 7.16332
905000 7.16352
907500 7.16375
910000 7.16399
912500 7.16421
915000 7.1644
917500 7.16459
920000 7.16456
922500 7.15905
925000 7.15284
927500 7.14662
930000 7.14023
932500 7.1335
935000 7.12622
937500 7.11938
940000 7.11217
942500 7.10517
945000 7.09759
947500 7.09014
950000 7.08233
952500 7.07443
955000 7.06791
957500 7.06068
960000 7.05195
962500 7.0424
965000 7.03261
967500 7.02433
970000 7.01615
972500 7.00801
975000 6.99828
977500 6.98788
980000 6.9796
982500 6.97177
985000 6.96153
987500 6.95208
990000 6.94164
992500 6.93228
995000 6.92399
997500 6.91404
1e+06 6.9057
