# time  DeltaF
2500 20.8757
5000 -0.0543727
7500 12.2603
10000 17.943
12500 18.0388
15000 9.18128
17500 3.82145
20000 0.182319
22500 3.58917
25000 6.82756
27500 9.05813
30000 10.9917
32500 12.6633
35000 14.1143
37500 15.2665
40000 16.3977
42500 17.4889
45000 18.2846
47500 15.0525
50000 12.6913
52500 10.4513
55000 8.68841
57500 7.00034
60000 5.43086
62500 4.05752
65000 2.87913
67500 1.79305
70000 0.790669
72500 -0.00684156
75000 1.3884
77500 2.61167
80000 3.6543
82500 4.56069
85000 5.49631
87500 6.2637
90000 7.04146
92500 7.77456
95000 8.39493
97500 9.08111
100000 9.69918
102500 10.267
105000 10.8325
107500 11.3474
110000 11.8301
112500 12.3337
115000 12.804
117500 13.2613
120000 13.6545
122500 14.0559
125000 14.5006
127500 14.838
130000 15.1912
132500 15.5607
135000 15.9068
137500 16.145
140000 16.5947
142500 15.4429
145000 14.4176
147500 13.4389
150000 12.5862
152500 11.8553
155000 10.9617
157500 10.2372
160000 9.56058
162500 8.88204
165000 8.32622
167500 7.68541
170000 7.14549
172500 6.56201
175000 6.02697
177500 5.51079
180000 5.05025
182500 4.55564
185000 4.12948
187500 3.66266
190000 3.24781
192500 2.85092
195000 2.46326
197500 2.04102
200000 1.66253
202500 1.28159
205000 0.923643
207500 0.583042
210000 0.270746
212500 -0.0527298
215000 -0.380824
217500 0.168264
220000 0.676613
222500 1.15549
225000 1.60669
227500 2.02847
230000 2.42591
232500 2.82176
235000 3.17891
237500 3.50581
240000 3.82843
242500 4.13391
245000 4.46642
247500 4.71237
250000 5.00589
252500 5.30189
255000 5.55587
257500 5.81527
260000 6.08954
262500 6.37385
265000 6.58085
267500 6.80906
270000 7.04683
272500 7.29915
275000 7.5327
277500 7.75909
280000 7.98689
282500 8.20321
285000 8.41965
287500 8.6625
290000 8.84349
292500 9.02826
295000 9.22187
297500 9.42638
300000 9.63023
302500 9.82025
305000 10.0018
307500 10.2113
310000 10.3766
312500 10.4939
315000 10.7573
317500 10.998
320000 11.1098
322500 11.2764
325000 11.5211
327500 11.6799
330000 11.8361
332500 11.9215
335000 12.1708
337500 12.2472
340000 12.3816
342500 12.6027
345000 12.7498
347500 12.8125
350000 12.9625
352500 13.117
355000 13.3411
357500 13.4068
360000 13.5645
362500 13.7795
