# time  av_DeltaF  std_DeltaF
2500 17.7004 4.94957
5000 4.94059 6.61271
7500 6.10272 6.24563
10000 11.841 6.3504
12500 15.3603 4.42692
15000 15.7641 4.43041
17500 13.4917 5.6959
20000 10.2007 6.32194
22500 7.98088 6.93746
25000 5.6992 5.81309
27500 4.93187 4.96342
30000 4.72897 5.20044
32500 5.601 5.21818
35000 6.47993 5.65149
37500 7.35362 5.69161
40000 8.19579 5.99404
42500 9.35779 5.83856
45000 10.567 5.37974
47500 11.3348 4.72056
50000 12.0648 4.48629
52500 12.584 4.35798
55000 12.8523 4.23371
57500 12.8557 4.30439
60000 12.6134 4.49505
62500 12.2498 4.79628
65000 11.9554 5.33929
67500 11.6123 5.80045
70000 11.1804 6.05086
72500 10.6524 6.23466
75000 10.1154 6.24512
77500 9.53453 6.29666
80000 8.97407 6.25841
82500 8.4964 6.35654
85000 8.05694 6.33872
87500 7.56869 6.34053
90000 7.22566 6.35911
92500 6.98929 6.1488
95000 6.84492 5.89756
97500 6.71654 5.81304
100000 6.52593 5.68323
102500 6.29174 5.56946
105000 6.11417 5.4821
107500 5.97148 5.30841
110000 5.94934 4.9965
112500 6.04232 4.67781
115000 6.13251 4.49285
117500 6.20012 4.41829
120000 6.29647 4.46527
122500 6.43777 4.50568
125000 6.56954 4.58809
127500 6.74452 4.70822
130000 6.87795 4.8363
132500 7.01384 4.82731
135000 7.15773 4.87579
137500 7.42311 4.84361
140000 7.69678 4.79638
142500 7.89161 4.72394
145000 8.07389 4.68929
147500 8.27239 4.72767
150000 8.44044 4.80382
152500 8.61888 4.89397
155000 8.81559 4.93221
157500 9.00106 4.96105
160000 9.18723 4.95061
162500 9.35184 4.96116
165000 9.47275 4.94415
167500 9.65082 4.93244
170000 9.81234 4.92589
172500 9.9384 4.89214
175000 10.0382 4.87855
177500 10.1591 4.91971
180000 10.2428 4.92661
182500 10.3201 4.91862
185000 10.4308 4.8943
187500 10.5278 4.91248
190000 10.6021 4.95279
192500 10.6769 4.95529
195000 10.7037 4.95202
197500 10.6921 4.91604
200000 10.6533 4.9141
202500 10.6297 4.82129
205000 10.6124 4.7714
207500 10.6014 4.77389
210000 10.5979 4.80067
212500 10.4745 4.76691
215000 10.3681 4.77873
217500 10.2499 4.68306
220000 10.1566 4.64669
222500 10.0528 4.63133
225000 9.92933 4.63097
227500 9.83098 4.66752
230000 9.73309 4.73662
232500 9.59397 4.76008
235000 9.45086 4.80203
237500 9.32604 4.8619
240000 9.19747 4.82075
242500 9.02406 4.74241
245000 8.88909 4.65968
247500 8.81017 4.64181
250000 8.69876 4.62433
252500 8.59288 4.63608
255000 8.50194 4.6237
257500 8.40379 4.61884
260000 8.26329 4.56693
262500 8.13072 4.54952
265000 7.97685 4.52557
267500 7.84211 4.5368
270000 7.69902 4.55725
272500 7.57101 4.60087
275000 7.42172 4.62942
277500 7.29583 4.7043
280000 7.20129 4.76872
282500 7.11027 4.75655
285000 7.01005 4.72852
287500 6.88424 4.67126
290000 6.77039 4.63191
292500 6.64667 4.59919
295000 6.52629 4.58525
297500 6.42211 4.59883
300000 6.31293 4.6153
302500 6.22386 4.68716
305000 6.12057 4.7361
307500 6.01857 4.78334
310000 5.94156 4.82011
312500 5.87219 4.88077
315000 5.82271 4.95364
317500 5.82965 4.86054
320000 5.81407 4.70694
322500 5.80592 4.58128
325000 5.78319 4.47092
327500 5.79133 4.36158
330000 5.7967 4.27892
332500 5.80245 4.21032
335000 5.82797 4.1379
337500 5.85706 4.07257
340000 5.88701 4.01437
342500 5.91633 3.98583
345000 5.93575 3.96543
347500 5.97525 3.9582
350000 6.01236 3.9377
352500 6.0715 3.91028
355000 6.16282 3.89094
357500 6.23611 3.86435
360000 6.30782 3.8459
362500 6.38486 3.85618
365000 6.45207 3.86508
367500 6.51681 3.88285
370000 6.59185 3.90442
372500 6.66291 3.96244
375000 6.7194 4.00021
377500 6.78691 4.06282
380000 6.84513 4.11121
382500 6.92524 4.18802
385000 6.98812 4.2406
387500 7.04945 4.24055
390000 7.12409 4.22806
392500 7.20147 4.22143
395000 7.27394 4.2218
397500 7.35125 4.24328
400000 7.43436 4.26486
402500 7.53471 4.24875
405000 7.64563 4.2352
407500 7.74316 4.20447
410000 7.82095 4.14693
412500 7.88618 4.09192
415000 7.95947 4.05047
417500 8.06123 3.99782
420000 8.15346 3.95917
422500 8.22788 3.91608
425000 8.27946 3.8547
427500 8.36063 3.82651
430000 8.43239 3.80271
432500 8.51458 3.80252
435000 8.57192 3.76476
437500 8.64194 3.76204
440000 8.705 3.75079
442500 8.77446 3.75239
445000 8.85012 3.76655
447500 8.90241 3.77854
450000 8.96816 3.79672
452500 9.02145 3.80007
455000 9.02787 3.73817
457500 9.05515 3.72317
460000 9.07703 3.72888
462500 9.09807 3.74406
465000 9.11114 3.76195
467500 9.13147 3.78055
470000 9.15815 3.82041
472500 9.16483 3.84012
475000 9.18673 3.88852
477500 9.19616 3.92664
480000 9.20522 3.97312
482500 9.21746 4.00275
485000 9.22428 4.01192
487500 9.26237 4.00757
490000 9.28987 3.99453
492500 9.33078 4.00553
495000 9.36465 4.0161
497500 9.38805 4.02778
500000 9.42417 4.05011
502500 9.44433 4.06523
505000 9.45973 4.09629
507500 9.49828 4.13326
510000 9.53385 4.17661
512500 9.57617 4.22753
515000 9.60207 4.2781
517500 9.6221 4.3082
520000 9.62689 4.32268
522500 9.62529 4.33993
525000 9.61939 4.35669
527500 9.61265 4.38331
530000 9.62664 4.41926
532500 9.62652 4.45341
535000 9.62717 4.49601
537500 9.6234 4.53076
540000 9.62821 4.57848
542500 9.6239 4.62903
545000 9.61969 4.67447
547500 9.63402 4.70523
550000 9.63458 4.7169
552500 9.64008 4.7455
555000 9.6475 4.77744
557500 9.64381 4.8089
560000 9.63199 4.82838
562500 9.62172 4.86022
565000 9.61765 4.88634
567500 9.59139 4.91172
570000 9.57951 4.94337
572500 9.55334 4.91753
575000 9.53294 4.90722
577500 9.50833 4.90129
580000 9.49191 4.90025
582500 9.455 4.894
585000 9.42272 4.88646
587500 9.36605 4.86052
590000 9.33432 4.83278
592500 9.30385 4.81343
595000 9.2699 4.79301
597500 9.23886 4.78548
600000 9.21247 4.78554
602500 9.17332 4.77926
605000 9.14165 4.77632
607500 9.10167 4.77912
610000 9.07639 4.79235
612500 9.03548 4.79398
615000 9.01794 4.82057
617500 9.00347 4.82324
620000 8.98698 4.82401
622500 8.96326 4.81109
625000 8.92978 4.78844
627500 8.90181 4.78402
630000 8.87304 4.77195
632500 8.83763 4.75367
635000 8.7925 4.73227
637500 8.75674 4.71939
640000 8.72551 4.71404
642500 8.68511 4.71081
645000 8.6479 4.70327
647500 8.59557 4.68191
650000 8.54098 4.67278
652500 8.49273 4.6632
655000 8.46209 4.67416
657500 8.40779 4.67046
660000 8.36437 4.67662
662500 8.31043 4.6687
665000 8.23677 4.64483
667500 8.17153 4.61734
670000 8.1227 4.61168
672500 8.07251 4.58119
675000 8.02974 4.53156
677500 7.98639 4.49179
680000 7.95267 4.4711
682500 7.91263 4.43291
685000 7.86514 4.39279
687500 7.83592 4.38334
690000 7.79508 4.35564
692500 7.76309 4.34565
695000 7.73016 4.33628
697500 7.69729 4.32826
700000 7.6626 4.323
702500 7.63923 4.31213
705000 7.62029 4.30029
707500 7.60076 4.29181
710000 7.57075 4.28345
712500 7.5392 4.26846
715000 7.52776 4.28122
717500 7.50497 4.27347
720000 7.49719 4.27152
722500 7.48427 4.26937
725000 7.47157 4.26694
727500 7.45577 4.26681
730000 7.4306 4.24936
732500 7.4092 4.23361
735000 7.38573 4.22841
737500 7.35314 4.21202
740000 7.33693 4.20437
742500 7.30827 4.20641
745000 7.28808 4.20008
747500 7.25637 4.17767
750000 7.22318 4.15308
752500 7.19016 4.14233
755000 7.16746 4.14252
757500 7.13759 4.12753
760000 7.09003 4.09836
762500 7.05704 4.09217
765000 7.04582 4.10736
767500 7.00859 4.11225
770000 6.98278 4.12061
772500 6.9483 4.12768
775000 6.91854 4.13032
777500 6.894 4.1452
780000 6.86397 4.16299
782500 6.8324 4.17966
785000 6.81831 4.21651
787500 6.78332 4.22367
790000 6.76071 4.25311
792500 6.73662 4.28132
795000 6.70553 4.29883
797500 6.67408 4.30829
800000 6.64073 4.32145
802500 6.60418 4.32468
805000 6.57715 4.32586
807500 6.55856 4.3266
810000 6.54662 4.31064
812500 6.54512 4.28806
815000 6.53636 4.25909
817500 6.51934 4.22459
820000 6.50988 4.19616
822500 6.50554 4.1777
825000 6.49388 4.1575
827500 6.49499 4.14569
830000 6.48929 4.13258
832500 6.47323 4.11957
835000 6.4579 4.10363
837500 6.45394 4.10492
840000 6.44411 4.10031
842500 6.43424 4.10165
845000 6.42815 4.10441
847500 6.41812 4.10646
850000 6.41248 4.09925
852500 6.41037 4.09396
855000 6.43438 4.07962
857500 6.44282 4.0603
860000 6.46137 4.05401
862500 6.47684 4.03617
865000 6.49395 4.03651
867500 6.50548 4.02568
870000 6.52231 4.02512
872500 6.53802 4.00982
875000 6.55769 3.97009
877500 6.58013 3.92873
880000 6.59573 3.88773
882500 6.61487 3.85564
885000 6.63983 3.83232
887500 6.65995 3.8026
890000 6.6791 3.78161
892500 6.70043 3.75789
895000 6.72667 3.74557
897500 6.74286 3.72751
900000 6.76471 3.69846
902500 6.77871 3.66754
905000 6.79743 3.64299
907500 6.81469 3.61717
910000 6.83592 3.59424
912500 6.85626 3.57536
915000 6.8739 3.55529
917500 6.89144 3.53704
920000 6.89904 3.51541
922500 6.91697 3.51703
925000 6.92267 3.50076
927500 6.93203 3.49676
930000 6.94634 3.49816
932500 6.95587 3.50439
935000 6.96902 3.50535
937500 6.98706 3.49219
940000 7.0091 3.4901
942500 7.02374 3.48581
945000 7.03614 3.4857
947500 7.04726 3.47822
950000 7.06696 3.48145
952500 7.09022 3.49669
955000 7.10212 3.49839
957500 7.12301 3.50846
960000 7.13948 3.51323
962500 7.15948 3.52803
965000 7.17126 3.53654
967500 7.19912 3.54823
970000 7.21892 3.54183
972500 7.24645 3.5473
975000 7.2613 3.53968
977500 7.28338 3.54814
980000 7.30441 3.55116
982500 7.33337 3.56166
985000 7.35345 3.57176
987500 7.38047 3.58211
990000 7.4064 3.60284
992500 7.42579 3.61285
995000 7.43946 3.61896
997500 7.46803 3.6385
1e+06 7.48768 3.65773
