# time  av_DeltaF  std_DeltaF
2500 7.90867 1.80486
5000 7.97036 1.32228
7500 7.37555 1.16106
10000 7.37724 1.01298
12500 7.61419 1.0296
15000 7.85066 0.97228
17500 7.96668 0.853096
20000 7.92533 0.759328
22500 7.83218 0.716995
25000 7.63775 0.714773
27500 7.47861 0.672032
30000 7.3063 0.666117
32500 7.24502 0.68309
35000 7.20717 0.719261
37500 7.18577 0.725691
40000 7.17589 0.772141
42500 7.21197 0.804093
45000 7.28743 0.844158
47500 7.36008 0.854504
50000 7.43977 0.863257
52500 7.52244 0.868885
55000 7.60661 0.870301
57500 7.67514 0.864562
60000 7.73311 0.856614
62500 7.76639 0.833369
65000 7.79589 0.821706
67500 7.82081 0.810889
70000 7.83889 0.798748
72500 7.84991 0.786623
75000 7.8485 0.770085
77500 7.83344 0.764675
80000 7.80934 0.7605
82500 7.77707 0.767931
85000 7.74249 0.777039
87500 7.70156 0.79718
90000 7.66215 0.816452
92500 7.62365 0.814793
95000 7.59515 0.806648
97500 7.56418 0.800071
100000 7.52116 0.796536
102500 7.46901 0.799625
105000 7.42092 0.806669
107500 7.38159 0.805369
110000 7.34626 0.785031
112500 7.3184 0.760565
115000 7.29937 0.745509
117500 7.2776 0.735427
120000 7.25264 0.729856
122500 7.23718 0.725683
125000 7.21919 0.721563
127500 7.20579 0.717679
130000 7.19379 0.718596
132500 7.18609 0.717326
135000 7.17948 0.717464
137500 7.17988 0.713849
140000 7.18585 0.708144
142500 7.18714 0.701114
145000 7.18864 0.696314
147500 7.19027 0.689635
150000 7.19109 0.684676
152500 7.19469 0.682682
155000 7.19896 0.682722
157500 7.20377 0.684088
160000 7.21376 0.682297
162500 7.22218 0.680139
165000 7.22966 0.677212
167500 7.23725 0.678719
170000 7.24863 0.68646
172500 7.25768 0.687403
175000 7.26873 0.688876
177500 7.28028 0.690689
180000 7.2887 0.692205
182500 7.2982 0.692104
185000 7.31171 0.69114
187500 7.32463 0.691441
190000 7.3368 0.692082
192500 7.34517 0.693546
195000 7.3544 0.695901
197500 7.36157 0.696414
200000 7.36888 0.69797
202500 7.37721 0.695882
205000 7.38641 0.694714
207500 7.39486 0.694506
210000 7.40422 0.693742
212500 7.40946 0.69432
215000 7.41365 0.695208
217500 7.4211 0.692728
220000 7.4271 0.691931
222500 7.43233 0.691281
225000 7.43485 0.692819
227500 7.43838 0.695763
230000 7.44108 0.697793
232500 7.4425 0.70208
235000 7.44415 0.707866
237500 7.44554 0.711664
240000 7.44337 0.709509
242500 7.43975 0.708149
245000 7.43755 0.705077
247500 7.43647 0.702318
250000 7.43726 0.700501
252500 7.43581 0.698418
255000 7.43561 0.697468
257500 7.43497 0.696734
260000 7.43216 0.695983
262500 7.42882 0.696325
265000 7.42456 0.697689
267500 7.41885 0.698935
270000 7.41218 0.701122
272500 7.40507 0.705173
275000 7.39601 0.708005
277500 7.38746 0.710214
280000 7.37929 0.711835
282500 7.37146 0.712568
285000 7.36252 0.711248
287500 7.3514 0.709328
290000 7.33928 0.707565
292500 7.32619 0.705967
295000 7.31319 0.705684
297500 7.29954 0.705775
300000 7.28384 0.706548
302500 7.26867 0.708865
305000 7.25276 0.71205
307500 7.23699 0.716971
310000 7.22187 0.721632
312500 7.20593 0.727783
315000 7.19111 0.733617
317500 7.18464 0.731876
320000 7.17821 0.727777
322500 7.17141 0.723962
325000 7.16398 0.720929
327500 7.15826 0.716548
330000 7.1524 0.711651
332500 7.14611 0.707373
335000 7.14218 0.703052
337500 7.13833 0.698289
340000 7.13402 0.693336
342500 7.1288 0.68781
345000 7.12321 0.682592
347500 7.11844 0.677438
350000 7.11255 0.671362
352500 7.10977 0.667384
355000 7.10915 0.66412
357500 7.10834 0.660556
360000 7.10699 0.657418
362500 7.10567 0.654173
365000 7.10357 0.650996
367500 7.10101 0.648322
370000 7.09876 0.645676
372500 7.09654 0.643007
375000 7.09415 0.64134
377500 7.09118 0.639909
380000 7.08901 0.638297
382500 7.08588 0.637068
385000 7.08444 0.634399
387500 7.08167 0.630636
390000 7.08031 0.627062
392500 7.07915 0.624267
395000 7.07731 0.620833
397500 7.07609 0.616993
400000 7.07516 0.614785
402500 7.07727 0.612778
405000 7.08015 0.610549
407500 7.08282 0.607253
410000 7.08476 0.60365
412500 7.08621 0.600471
415000 7.08822 0.598643
417500 7.09116 0.598747
420000 7.09402 0.598547
422500 7.09654 0.59868
425000 7.09868 0.598793
427500 7.10093 0.599004
430000 7.10333 0.599326
432500 7.10632 0.600193
435000 7.1093 0.60146
437500 7.112 0.602221
440000 7.1148 0.602818
442500 7.11798 0.603283
445000 7.12174 0.60355
447500 7.1253 0.604287
450000 7.12847 0.605324
452500 7.13095 0.606045
455000 7.13289 0.606122
457500 7.13405 0.606526
460000 7.1353 0.607528
462500 7.1367 0.60917
465000 7.13792 0.610808
467500 7.13924 0.612703
470000 7.14077 0.614259
472500 7.14242 0.616381
475000 7.14353 0.619227
477500 7.14484 0.621918
480000 7.14594 0.624791
482500 7.14699 0.627992
485000 7.14866 0.629753
487500 7.15186 0.628855
490000 7.15497 0.628135
492500 7.15808 0.627535
495000 7.16142 0.627184
497500 7.16484 0.627158
500000 7.16794 0.626923
502500 7.17076 0.626867
505000 7.17333 0.626861
507500 7.17603 0.626892
510000 7.17839 0.627256
512500 7.1813 0.627668
515000 7.18364 0.629096
517500 7.18603 0.630087
520000 7.18791 0.630348
522500 7.18989 0.630323
525000 7.19151 0.631452
527500 7.19267 0.632848
530000 7.19402 0.634574
532500 7.19517 0.636793
535000 7.19644 0.63944
537500 7.19762 0.642377
540000 7.19887 0.645203
542500 7.19943 0.64887
545000 7.19967 0.653131
547500 7.20133 0.654551
550000 7.20228 0.656091
552500 7.20313 0.657381
555000 7.20472 0.658759
557500 7.2061 0.65996
560000 7.20727 0.661237
562500 7.20795 0.663127
565000 7.20846 0.665456
567500 7.20896 0.668016
570000 7.20885 0.671034
572500 7.20995 0.671998
575000 7.21065 0.673301
577500 7.21161 0.674587
580000 7.21248 0.675604
582500 7.21315 0.677189
585000 7.21338 0.678747
587500 7.21256 0.680831
590000 7.21254 0.68251
592500 7.2125 0.68437
595000 7.21255 0.686394
597500 7.21247 0.688743
600000 7.21234 0.69174
602500 7.21217 0.694687
605000 7.21172 0.697628
607500 7.21119 0.700824
610000 7.21029 0.704049
612500 7.20951 0.706957
615000 7.20876 0.710147
617500 7.20897 0.711832
620000 7.20936 0.713909
622500 7.20893 0.715454
625000 7.20867 0.716757
627500 7.20836 0.718302
630000 7.20753 0.719731
632500 7.20632 0.720864
635000 7.205 0.722009
637500 7.20375 0.723288
640000 7.20258 0.724462
642500 7.20144 0.726253
645000 7.19939 0.728345
647500 7.19658 0.729907
650000 7.19422 0.731549
652500 7.19223 0.732985
655000 7.19027 0.734863
657500 7.18851 0.737003
660000 7.18658 0.73898
662500 7.18406 0.740667
665000 7.181 0.742673
667500 7.17776 0.744987
670000 7.17439 0.747747
672500 7.1721 0.749111
675000 7.17088 0.749107
677500 7.16968 0.74899
680000 7.1686 0.749084
682500 7.16791 0.749425
685000 7.16681 0.749426
687500 7.16528 0.74953
690000 7.16387 0.74957
692500 7.16243 0.749748
695000 7.16081 0.749933
697500 7.1592 0.750254
700000 7.15751 0.75057
702500 7.15699 0.75047
705000 7.15653 0.750282
707500 7.15573 0.749996
710000 7.15514 0.749808
712500 7.15444 0.749835
715000 7.15355 0.749737
717500 7.15309 0.749511
720000 7.15308 0.748997
722500 7.15309 0.748493
725000 7.15296 0.747844
727500 7.15298 0.747424
730000 7.15231 0.746631
732500 7.1515 0.745854
735000 7.15073 0.745269
737500 7.14985 0.744686
740000 7.14888 0.743939
742500 7.14809 0.743663
745000 7.14666 0.743109
747500 7.14494 0.741438
750000 7.14297 0.739739
752500 7.14099 0.738186
755000 7.13923 0.736455
757500 7.13739 0.734701
760000 7.13549 0.73301
762500 7.13302 0.7315
765000 7.13093 0.729834
767500 7.12879 0.728112
770000 7.12676 0.726505
772500 7.12454 0.725156
775000 7.12212 0.723823
777500 7.11935 0.722437
780000 7.11628 0.721267
782500 7.11301 0.71999
785000 7.10971 0.718671
787500 7.10639 0.717395
790000 7.10307 0.716405
792500 7.0993 0.715747
795000 7.09552 0.715126
797500 7.09138 0.714527
800000 7.08738 0.713534
802500 7.08363 0.712813
805000 7.08022 0.712404
807500 7.0771 0.711809
810000 7.07523 0.710802
812500 7.07373 0.709889
815000 7.07206 0.709045
817500 7.07024 0.708237
820000 7.06823 0.707452
822500 7.06618 0.706462
825000 7.064 0.705453
827500 7.06207 0.704457
830000 7.06003 0.703468
832500 7.05771 0.702702
835000 7.05521 0.701921
837500 7.05266 0.701191
840000 7.04981 0.700248
842500 7.04715 0.699122
845000 7.04452 0.69839
847500 7.04204 0.697617
850000 7.03978 0.695981
852500 7.03806 0.69462
855000 7.03743 0.694185
857500 7.0367 0.693474
860000 7.03597 0.692989
862500 7.03535 0.692337
865000 7.03457 0.691231
867500 7.03389 0.690602
870000 7.03313 0.690069
872500 7.03276 0.688691
875000 7.03281 0.687017
877500 7.0326 0.685317
880000 7.03237 0.68359
882500 7.03213 0.681858
885000 7.03176 0.679923
887500 7.03131 0.678085
890000 7.03091 0.676234
892500 7.03056 0.674246
895000 7.02998 0.672205
897500 7.02961 0.670242
900000 7.02961 0.668677
902500 7.02929 0.666911
905000 7.02912 0.665275
907500 7.029 0.663527
910000 7.02909 0.661704
912500 7.02914 0.659911
915000 7.02914 0.658021
917500 7.02918 0.656114
920000 7.02893 0.654423
922500 7.02883 0.652552
925000 7.02865 0.650841
927500 7.02813 0.649068
930000 7.02756 0.64728
932500 7.02689 0.645333
935000 7.02651 0.643446
937500 7.02659 0.641282
940000 7.02638 0.639061
942500 7.02631 0.63683
945000 7.02626 0.634738
