# time  DeltaF
2500 11.0143
5000 7.32476
7500 0.753357
10000 10.9077
12500 17.0001
15000 20.8039
17500 21.5796
20000 12.9182
22500 6.98246
25000 2.57139
27500 -0.810319
30000 -2.01347
32500 1.51512
35000 4.53326
37500 7.11745
40000 9.21462
42500 11.1042
45000 12.7786
47500 14.3516
50000 15.8193
52500 17.0969
55000 18.2881
57500 19.3992
60000 19.0647
62500 16.0753
65000 13.5302
67500 11.3518
70000 9.43933
72500 7.70628
75000 6.16819
77500 4.71672
80000 3.41333
82500 2.20643
85000 1.10617
87500 0.0763659
90000 -0.835553
92500 0.276266
95000 1.44871
97500 2.62008
100000 3.66826
102500 4.53312
105000 5.46368
107500 6.28659
110000 7.10083
112500 7.91235
115000 8.62668
117500 9.36184
120000 10.0241
122500 10.6798
125000 11.2861
127500 11.8788
130000 12.4675
132500 13.0286
135000 13.6228
137500 14.1066
140000 14.6098
142500 15.1217
145000 15.5922
147500 16.0503
150000 16.5301
152500 16.9752
155000 17.4178
157500 17.8525
160000 18.227
162500 18.6069
165000 18.9967
167500 19.3194
170000 19.429
172500 18.3463
175000 17.2766
177500 16.3055
180000 15.324
182500 14.429
185000 13.574
187500 12.7607
190000 11.9736
192500 11.2538
195000 10.5814
197500 9.8869
200000 9.2549
202500 8.63479
205000 8.04106
207500 7.4871
210000 6.89675
212500 6.37778
215000 5.8271
217500 5.32012
220000 4.83649
222500 4.35506
225000 3.88725
227500 3.44878
230000 3.02424
232500 2.5774
235000 2.15721
237500 1.7534
240000 1.38169
242500 1.04913
245000 0.697847
247500 0.321428
250000 -0.00837485
252500 -0.35737
255000 -0.677866
257500 -0.976103
260000 -0.677523
262500 -0.244441
265000 0.202291
267500 0.601841
270000 1.00366
272500 1.40268
275000 1.83762
277500 2.19376
280000 2.58279
282500 2.96763
285000 3.31253
287500 3.68729
290000 4.02695
292500 4.34978
295000 4.66712
297500 5.00546
300000 5.30327
302500 5.60297
305000 5.91019
307500 6.19308
310000 6.49083
312500 6.78206
315000 7.05329
317500 7.33399
320000 7.59552
322500 7.86196
325000 8.11567
327500 8.36025
330000 8.611
332500 8.86336
335000 9.11928
337500 9.36432
340000 9.61073
342500 9.84684
345000 10.0818
347500 10.3088
350000 10.5189
352500 10.7345
355000 10.9542
357500 11.1761
360000 11.3768
362500 11.5914
365000 11.7958
367500 12.0097
370000 12.2115
372500 12.4032
375000 12.6037
377500 12.8029
380000 13.0137
382500 13.2073
385000 13.3909
387500 13.5906
390000 13.7693
392500 13.9553
395000 14.1429
397500 14.3306
400000 14.5173
402500 14.6934
405000 14.8652
407500 15.0297
410000 15.2117
412500 15.386
415000 15.5545
417500 15.7137
420000 15.8878
422500 16.0458
425000 16.2038
427500 16.3616
430000 16.5213
432500 16.6655
435000 16.8274
437500 16.9775
440000 17.135
442500 17.2799
445000 17.428
447500 17.5821
450000 17.7143
452500 17.8497
455000 17.9915
457500 18.1329
460000 18.2755
462500 18.4053
465000 18.5323
467500 18.3091
470000 17.8972
472500 17.4871
475000 17.0828
477500 16.7043
480000 16.3366
482500 15.9701
485000 15.6161
487500 15.2668
490000 14.9293
492500 14.5992
495000 14.2715
497500 13.9399
500000 13.6277
502500 13.322
505000 13.0299
507500 12.7376
510000 12.4497
