# time  DeltaF
2500 1.49351
5000 2.53315
7500 2.47969
10000 1.33087
12500 1.81998
15000 2.1016
17500 2.30175
20000 2.46779
22500 2.48897
25000 2.48891
27500 2.48313
30000 2.34996
32500 1.67424
35000 1.15464
37500 1.23322
40000 1.40401
42500 1.55704
45000 1.67223
47500 1.77395
50000 1.8684
52500 1.94585
55000 2.01642
57500 2.08297
60000 2.14595
62500 2.16995
65000 2.16995
67500 2.16994
70000 2.16988
72500 2.16954
75000 2.1681
77500 2.16234
80000 2.14501
82500 2.09034
85000 1.96101
87500 1.75596
90000 1.55664
92500 1.59008
95000 1.64945
97500 1.71477
100000 1.77837
102500 1.83727
105000 1.88989
107500 1.94021
110000 1.98626
112500 2.02981
115000 2.07288
117500 2.11029
120000 2.14491
122500 2.17894
125000 2.21288
127500 2.242
130000 2.27277
132500 2.28937
135000 2.28937
137500 2.28935
140000 2.28932
142500 2.28925
145000 2.28909
147500 2.28875
150000 2.28806
152500 2.28671
155000 2.28387
157500 2.2786
160000 2.26923
162500 2.25249
165000 2.22263
167500 2.17714
170000 2.11288
172500 2.02305
175000 1.91944
177500 1.83808
180000 1.86092
182500 1.8898
185000 1.92293
187500 1.95452
190000 1.98576
192500 2.01686
195000 2.04768
197500 2.07637
200000 2.10315
202500 2.12941
205000 2.15496
207500 2.17982
210000 2.20277
212500 2.22596
215000 2.24878
217500 2.27001
220000 2.29022
222500 2.30941
225000 2.32837
227500 2.34714
230000 2.36406
232500 2.38164
235000 2.39768
237500 2.41491
240000 2.43245
242500 2.44852
245000 2.46464
247500 2.47939
250000 2.49454
252500 2.50953
255000 2.52458
257500 2.53889
260000 2.5526
262500 2.56688
265000 2.57998
267500 2.59451
270000 2.60741
272500 2.62009
275000 2.62443
277500 2.62443
280000 2.62443
282500 2.62443
285000 2.62443
287500 2.62443
290000 2.62443
292500 2.62442
295000 2.62441
297500 2.6244
300000 2.62438
302500 2.62435
305000 2.62431
307500 2.62425
310000 2.62416
312500 2.62402
315000 2.62384
317500 2.62357
320000 2.62319
322500 2.62264
325000 2.62188
327500 2.62086
330000 2.61948
332500 2.61773
335000 2.61511
337500 2.6118
340000 2.60742
342500 2.60137
345000 2.59341
347500 2.58294
350000 2.57121
352500 2.55532
355000 2.53767
357500 2.51426
360000 2.48831
362500 2.4531
365000 2.41518
367500 2.36755
370000 2.37607
372500 2.39109
375000 2.40494
377500 2.41962
380000 2.43628
382500 2.4522
385000 2.46809
387500 2.48301
390000 2.49705
392500 2.51049
395000 2.52379
397500 2.53679
400000 2.54925
402500 2.5621
405000 2.57462
407500 2.5886
410000 2.60109
412500 2.61492
415000 2.62685
417500 2.63828
420000 2.65075
422500 2.66179
425000 2.67242
427500 2.68323
430000 2.6945
432500 2.70507
435000 2.71487
437500 2.72504
440000 2.73541
442500 2.74493
445000 2.75467
447500 2.76465
450000 2.77422
452500 2.78403
455000 2.79339
457500 2.80268
460000 2.811
462500 2.82003
465000 2.82893
467500 2.83795
470000 2.84726
472500 2.85571
475000 2.86349
477500 2.87186
480000 2.88046
482500 2.8886
485000 2.89569
487500 2.90379
490000 2.91209
492500 2.91941
495000 2.92683
497500 2.93445
500000 2.94214
502500 2.94956
505000 2.95639
507500 2.96412
510000 2.97112
512500 2.97734
515000 2.98431
517500 2.9914
520000 2.9982
522500 3.00506
525000 3.01176
527500 3.01826
530000 3.02431
532500 3.03051
535000 3.03717
537500 3.04343
540000 3.04993
542500 3.05583
545000 3.06243
547500 3.06851
550000 3.07476
552500 3.08063
555000 3.08558
557500 3.08558
560000 3.08558
562500 3.08558
565000 3.08558
567500 3.08558
570000 3.08558
572500 3.08558
575000 3.08558
577500 3.08558
580000 3.08558
582500 3.08558
585000 3.08557
587500 3.08557
590000 3.08557
592500 3.08556
595000 3.08556
597500 3.08555
600000 3.08554
602500 3.08553
605000 3.08552
607500 3.08551
610000 3.08549
612500 3.08547
615000 3.08544
617500 3.08541
620000 3.08537
622500 3.08532
625000 3.08526
627500 3.08519
630000 3.0851
632500 3.08501
635000 3.08488
637500 3.08474
640000 3.08457
642500 3.08438
645000 3.08414
647500 3.08387
650000 3.08355
652500 3.08316
655000 3.0827
657500 3.08212
660000 3.08141
662500 3.08068
665000 3.07987
667500 3.07886
670000 3.07776
672500 3.07635
675000 3.07475
677500 3.07286
680000 3.07094
682500 3.06841
685000 3.06571
687500 3.06261
690000 3.05878
692500 3.0549
695000 3.04997
697500 3.04487
700000 3.03851
702500 3.03152
705000 3.0239
707500 3.015
710000 3.00525
712500 2.99315
715000 2.98108
717500 2.96759
720000 2.95204
722500 2.93532
725000 2.91735
727500 2.89687
730000 2.87684
732500 2.85322
735000 2.83005
737500 2.80247
740000 2.77132
742500 2.74278
745000 2.71176
747500 2.67842
750000 2.64702
752500 2.61561
755000 2.62212
757500 2.62885
760000 2.63573
762500 2.64253
765000 2.64989
767500 2.65719
770000 2.66474
772500 2.67218
775000 2.6796
777500 2.68671
780000 2.69402
782500 2.70123
785000 2.70876
787500 2.7158
790000 2.72338
792500 2.73126
795000 2.73854
797500 2.7455
800000 2.75311
802500 2.7598
805000 2.76686
807500 2.7739
810000 2.78133
812500 2.78801
815000 2.79479
817500 2.80116
820000 2.80769
822500 2.81444
825000 2.82082
827500 2.8273
830000 2.83387
832500 2.84011
835000 2.84645
837500 2.8522
840000 2.85843
842500 2.86429
845000 2.87027
847500 2.87615
850000 2.88192
852500 2.88717
855000 2.89318
857500 2.89841
860000 2.90346
862500 2.90911
865000 2.91482
867500 2.92032
870000 2.92569
872500 2.93115
875000 2.93616
877500 2.94139
880000 2.94637
882500 2.95144
885000 2.95662
887500 2.96191
890000 2.96709
892500 2.9723
895000 2.9774
897500 2.98276
900000 2.98792
902500 2.99259
905000 2.99734
907500 3.00188
910000 3.00634
912500 3.01065
915000 3.0156
917500 3.0209
920000 3.02551
922500 3.02994
925000 3.03432
927500 3.03857
930000 3.04315
932500 3.04742
935000 3.05208
937500 3.05641
940000 3.06095
942500 3.06477
945000 3.0692
947500 3.07325
950000 3.07741
952500 3.08134
955000 3.08609
