# time  DeltaF
2500 3.98841
5000 23.2583
7500 10.9181
10000 -0.978457
12500 8.45351
15000 14.5695
17500 19.1893
20000 22.5815
22500 17.6518
25000 10.8331
27500 6.04249
30000 2.09704
32500 -0.965843
35000 -0.521618
37500 2.78093
40000 5.50556
42500 7.97072
45000 10.0555
47500 11.9822
50000 13.7095
52500 15.2678
55000 16.7107
57500 18.005
60000 19.2912
62500 20.507
65000 21.5365
67500 22.4269
70000 20.5488
72500 17.6775
75000 15.3391
77500 13.1471
80000 11.2273
82500 9.60955
85000 7.99995
87500 6.54202
90000 5.22832
92500 3.94935
95000 2.82554
97500 1.79563
100000 0.77236
102500 -0.137084
105000 0.0772617
107500 1.29966
110000 2.41024
112500 3.41294
115000 4.36008
117500 5.20355
120000 6.07046
122500 6.91166
125000 7.70468
127500 8.45924
130000 9.17476
132500 9.85331
135000 10.488
137500 11.1578
140000 11.7788
142500 12.4085
145000 12.9967
147500 13.566
150000 14.1327
152500 14.6835
155000 15.2056
157500 15.7227
160000 16.2365
162500 16.7392
165000 17.2035
167500 17.6627
170000 18.1113
172500 18.5486
175000 18.978
177500 19.3933
180000 19.418
182500 18.2461
185000 17.1863
187500 16.1989
190000 15.2858
192500 14.4348
195000 13.6042
197500 12.7996
200000 12.0145
202500 11.2771
205000 10.5741
207500 9.9246
210000 9.24866
212500 8.64416
215000 7.99595
217500 7.41342
220000 6.84901
222500 6.3022
225000 5.73916
227500 5.22165
230000 4.72521
232500 4.25861
235000 3.77853
237500 3.3388
240000 2.86683
242500 2.46771
245000 2.04664
247500 1.61991
250000 1.18989
252500 0.790046
255000 0.430103
257500 0.0774428
260000 -0.279113
262500 -0.336515
265000 0.134651
267500 0.607559
270000 1.08196
272500 1.54093
275000 1.98865
277500 2.40956
280000 2.85332
282500 3.2376
285000 3.62099
287500 3.99849
290000 4.36966
292500 4.72565
295000 5.08463
297500 5.44764
300000 5.78513
302500 6.12359
305000 6.45528
307500 6.79315
310000 7.09491
312500 7.39214
315000 7.71309
317500 8.01532
320000 8.33382
322500 8.62593
325000 8.91447
327500 9.20001
330000 9.46791
332500 9.75443
335000 10.0157
337500 10.2881
340000 10.5393
342500 10.791
345000 11.0543
347500 11.3122
350000 11.5685
352500 11.8034
355000 12.0533
357500 12.292
360000 12.5293
362500 12.7527
365000 12.996
367500 13.2112
370000 13.438
372500 13.671
375000 13.8998
377500 14.1198
380000 14.3452
382500 14.5479
385000 14.7599
387500 14.9845
390000 15.197
392500 15.3964
395000 15.5983
397500 15.804
400000 16.0093
402500 16.2045
405000 16.393
407500 16.587
410000 16.7853
412500 16.9696
415000 17.1614
417500 17.3324
420000 17.5157
422500 17.6883
425000 17.8649
427500 17.9572
430000 17.4914
432500 17.0157
435000 16.5779
437500 16.1626
440000 15.7253
442500 15.3463
445000 14.9303
447500 14.5826
450000 14.2029
452500 13.8372
455000 13.4644
457500 13.1133
460000 12.7908
462500 12.4634
465000 12.1379
467500 11.8323
470000 11.5253
472500 11.2179
475000 10.9043
477500 10.601
480000 10.3155
482500 10.0073
485000 9.72444
487500 9.44392
490000 9.16327
492500 8.89852
495000 8.63727
497500 8.3728
500000 8.10992
502500 7.8567
505000 7.62233
507500 7.37173
510000 7.12813
512500 6.89897
515000 6.65712
517500 6.42363
520000 6.19604
522500 5.97317
525000 5.73439
527500 5.50597
530000 5.29277
532500 5.06866
535000 4.86678
537500 4.64601
540000 4.4274
542500 4.21048
545000 4.01318
547500 3.81185
550000 3.61715
552500 3.42338
555000 3.21434
557500 3.05299
560000 3.26137
562500 3.46633
565000 3.67792
567500 3.8823
570000 4.0733
572500 4.27003
575000 4.46313
577500 4.63402
580000 4.82724
582500 5.01085
585000 5.19222
587500 5.38061
590000 5.5608
592500 5.73433
595000 5.90798
597500 6.07834
600000 6.25891
602500 6.42638
605000 6.59165
607500 6.74871
610000 6.91003
612500 7.06894
615000 7.22061
617500 7.38029
620000 7.53959
622500 7.69453
625000 7.86063
627500 8.01364
630000 8.16479
632500 8.31994
635000 8.46228
637500 8.59896
640000 8.75132
642500 8.89967
645000 9.03525
647500 9.18417
650000 9.32818
652500 9.46946
655000 9.60086
657500 9.73602
660000 9.87814
662500 10.0122
665000 10.1442
667500 10.2777
670000 10.4162
672500 10.548
675000 10.6816
677500 10.8196
680000 10.945
682500 11.0702
685000 11.1997
687500 11.3253
690000 11.46
692500 11.5765
695000 11.6939
697500 11.8115
700000 11.9304
702500 12.0474
705000 12.1773
707500 12.2936
710000 12.4123
712500 12.5362
715000 12.6603
717500 12.7846
720000 12.9015
722500 13.0099
725000 13.1223
727500 13.2298
730000 13.3442
732500 13.4553
735000 13.5664
737500 13.6782
740000 13.7937
742500 13.9086
745000 14.0196
747500 14.1309
750000 14.24
752500 14.3471
755000 14.4567
757500 14.5619
760000 14.6668
762500 14.7725
765000 14.8805
767500 14.9885
770000 15.0964
772500 15.1992
775000 15.3096
777500 15.4105
780000 15.5146
782500 15.6185
785000 15.7114
787500 15.8127
790000 15.9204
792500 16.0248
795000 16.1239
797500 16.2245
800000 16.3191
802500 16.4181
805000 16.5151
807500 16.6118
810000 16.7069
812500 16.7974
815000 16.889
817500 16.9774
820000 17.0709
822500 17.1642
825000 17.258
827500 17.3495
830000 17.4395
832500 17.5315
835000 17.6257
837500 17.7131
840000 17.808
842500 17.8978
845000 17.9882
847500 18.0777
850000 18.1633
852500 18.2464
855000 18.3301
857500 18.4135
860000 18.4996
862500 18.582
865000 18.6682
867500 18.7558
870000 18.8427
872500 18.9244
875000 19.0059
877500 19.0908
880000 19.1768
882500 19.2549
885000 19.3405
887500 19.4233
890000 19.5024
892500 19.579
895000 19.6593
897500 19.5212
900000 19.294
902500 19.0711
905000 18.8373
907500 18.6106
910000 18.3966
912500 18.1686
915000 17.9471
917500 17.7348
920000 17.5173
922500 17.317
925000 17.1157
927500 16.9122
930000 16.7144
932500 16.5138
935000 16.3136
937500 16.119
940000 15.9378
942500 15.758
945000 15.568
947500 15.3896
950000 15.2091
952500 15.0318
955000 14.8497
957500 14.6763
960000 14.5097
962500 14.3345
965000 14.1583
967500 13.9836
970000 13.8187
972500 13.6489
975000 13.4915
977500 13.3251
980000 13.1634
982500 13.0019
985000 12.849
987500 12.6887
990000 12.5325
992500 12.3792
995000 12.2342
997500 12.0839
1e+06 11.9389
