# time  av_DeltaF  std_DeltaF
2500 9.72218 4.73782
5000 18.7284 5.16217
7500 2.4565 4.27704
10000 3.93821 5.00591
12500 12.1713 4.13977
15000 17.5709 3.21924
17500 19.2284 3.81075
20000 17.2394 6.40195
22500 10.9107 6.17678
25000 5.77208 4.85761
27500 2.86635 2.85238
30000 1.5257 3.02067
32500 2.06557 4.23101
35000 4.52201 4.51037
37500 7.13067 4.50537
40000 9.46401 4.5281
42500 11.6591 4.26824
45000 13.5274 3.96493
47500 15.0561 3.59839
50000 16.3107 3.38031
52500 16.9337 3.25831
55000 17.1709 3.5389
57500 16.6665 4.25389
60000 15.5006 5.0478
62500 13.8733 5.53339
65000 12.2312 6.07254
67500 10.513 6.31811
70000 8.74005 6.02585
72500 7.16283 5.69973
75000 5.78769 5.51906
77500 4.75565 5.26179
80000 4.15216 4.96168
82500 3.82111 4.28225
85000 3.58111 3.84316
87500 3.49627 3.73038
90000 3.76868 3.63463
92500 4.34172 3.46373
95000 4.93403 3.52238
97500 5.49378 3.8114
100000 6.11486 4.10869
102500 6.77344 4.36909
105000 7.53581 4.45589
107500 8.36215 4.36805
110000 9.16678 4.33411
112500 10.0024 4.24467
115000 10.7485 4.09086
117500 11.4347 3.95334
120000 12.0839 3.86195
122500 12.6712 3.73936
125000 13.1968 3.62101
127500 13.625 3.49863
130000 14.0416 3.49583
132500 14.4163 3.59079
135000 14.7464 3.79391
137500 15.0643 4.05485
140000 15.3231 4.31855
142500 15.4149 4.47415
145000 15.3918 4.64895
147500 15.3259 4.88572
150000 15.2177 5.12199
152500 15.0956 5.2843
155000 14.8268 5.28066
157500 14.448 5.28716
160000 14.0374 5.33613
162500 13.6601 5.48773
165000 13.3026 5.7112
167500 12.9502 5.97988
170000 12.5604 6.20881
172500 12.0866 6.35927
175000 11.5667 6.45347
177500 11.0892 6.55128
180000 10.698 6.54708
182500 10.2799 6.52468
185000 9.90409 6.52819
187500 9.47377 6.36949
190000 8.9777 6.12826
192500 8.50844 5.92944
195000 7.99741 5.65822
197500 7.51481 5.44132
200000 7.04588 5.26726
202500 6.62993 5.08463
205000 6.26521 4.91693
207500 5.9524 4.74913
210000 5.74154 4.54414
212500 5.56472 4.37794
