# time  av_DeltaF  std_DeltaF
2500 8.73174 4.26232
5000 17.0268 4.78936
7500 2.207 3.85228
10000 3.54276 4.51918
12500 10.9891 3.74386
15000 15.899 2.94746
17500 17.4382 3.50952
20000 15.6463 5.85342
22500 9.87009 5.62143
25000 5.20528 4.38994
27500 2.57035 2.57876
30000 1.36228 2.72507
32500 1.85292 3.82377
35000 4.07053 4.08529
37500 6.43371 4.08258
40000 8.54917 4.10055
42500 10.5372 3.8675
45000 12.2305 3.59159
47500 13.6168 3.25967
50000 14.7577 3.07049
52500 15.3333 2.97885
55000 15.5453 3.22754
57500 15.0763 3.85541
60000 14.0227 4.57514
62500 12.5487 5.01794
65000 11.0616 5.50585
67500 9.50498 5.72623
70000 7.89621 5.45869
72500 6.46796 5.16397
75000 5.22291 4.99921
77500 4.28775 4.76858
80000 3.74179 4.50301
82500 3.43893 3.87915
85000 3.22307 3.48035
87500 3.14774 3.3766
90000 3.39444 3.28933
92500 3.91186 3.13752
95000 4.44837 3.19211
97500 4.95646 3.45254
100000 5.52037 3.72085
102500 6.11798 3.95652
105000 6.80855 4.03641
107500 7.55664 3.95964
110000 8.28548 3.92983
112500 9.0427 3.84847
115000 9.7191 3.70891
117500 10.341 3.58369
120000 10.9293 3.50023
122500 11.4615 3.38802
125000 11.9378 3.28037
127500 12.326 3.16969
130000 12.7035 3.16634
132500 13.043 3.25227
135000 13.342 3.43609
137500 13.6302 3.67255
140000 13.8652 3.91254
142500 13.9487 4.05449
145000 13.9288 4.21448
147500 13.8705 4.4308
150000 13.7728 4.64541
152500 13.6613 4.79154
155000 13.4151 4.78599
157500 13.0717 4.79173
160000 12.6999 4.83603
162500 12.358 4.97312
165000 12.0346 5.17606
167500 11.7156 5.42004
170000 11.3627 5.62771
172500 10.9328 5.76156
175000 10.4614 5.84537
177500 10.0289 5.9336
180000 9.67407 5.93097
182500 9.29556 5.91206
185000 8.95564 5.91699
187500 8.56429 5.77246
190000 8.11463 5.55386
192500 7.68943 5.37442
195000 7.22642 5.12837
197500 6.78901 4.93108
200000 6.36467 4.77286
202500 5.98816 4.60702
205000 5.65771 4.45465
207500 5.37436 4.30238
210000 5.18312 4.1171
212500 5.02252 3.96632
215000 4.89278 3.81876
217500 4.77646 3.73372
220000 4.70124 3.66194
222500 4.6302 3.65014
225000 4.56227 3.69771
227500 4.52267 3.76201
230000 4.4951 3.85847
232500 4.47527 3.97934
235000 4.4959 3.9077
237500 4.56252 3.82389
240000 4.6218 3.78417
242500 4.69214 3.79058
245000 4.7824 3.80548
247500 4.87783 3.86056
250000 4.98598 3.9259
252500 5.1106 4.00032
255000 5.23504 4.09922
257500 5.36026 4.22117
260000 5.49984 4.3311
262500 5.66433 4.4187
265000 5.86801 4.4702
267500 6.06609 4.53381
270000 6.26858 4.60803
272500 6.4573 4.70189
275000 6.64841 4.74015
277500 6.8425 4.74737
280000 7.0566 4.73969
282500 7.28562 4.70808
285000 7.51117 4.69268
287500 7.75727 4.63743
290000 7.98368 4.55779
292500 8.18714 4.4655
295000 8.39143 4.39219
297500 8.5934 4.327
300000 8.7886 4.2811
302500 8.98515 4.24552
305000 9.17609 4.22746
307500 9.33248 4.17013
310000 9.48921 4.13169
312500 9.64295 4.11018
315000 9.7991 4.10644
317500 9.95325 4.11579
320000 10.0818 4.10524
322500 10.197 4.09638
325000 10.3144 4.10395
327500 10.4462 4.05121
330000 10.5277 3.96917
332500 10.6137 3.90616
335000 10.6763 3.84431
337500 10.726 3.79445
340000 10.7815 3.76934
342500 10.8377 3.76673
345000 10.8946 3.78773
347500 10.95 3.8286
350000 11.0089 3.88153
352500 11.0421 3.92118
355000 11.0735 3.96196
357500 11.1052 4.019
360000 11.1373 4.09453
362500 11.1693 4.18387
365000 11.2038 4.28851
367500 11.2235 4.39102
370000 11.2317 4.41726
372500 11.2323 4.44833
375000 11.2358 4.49713
377500 11.2406 4.5585
380000 11.2474 4.63332
382500 11.2388 4.69346
385000 11.2198 4.75489
387500 11.1931 4.80563
390000 11.1546 4.84734
392500 11.1169 4.90454
395000 11.0861 4.96915
397500 11.0716 5.01979
400000 11.0499 5.07142
402500 11.0126 5.11543
405000 10.9786 5.1761
407500 10.9465 5.24273
410000 10.916 5.32309
412500 10.8858 5.4098
415000 10.8542 5.50428
417500 10.802 5.57125
420000 10.7401 5.62029
422500 10.6858 5.64432
425000 10.6361 5.68002
427500 10.5849 5.72263
430000 10.5283 5.73142
432500 10.4764 5.7426
435000 10.4276 5.76697
437500 10.3564 5.73671
440000 10.2864 5.70517
442500 10.2199 5.68824
445000 10.1454 5.66819
447500 10.0578 5.63791
450000 9.97302 5.6127
452500 9.89156 5.57079
455000 9.80494 5.51294
457500 9.70332 5.43906
460000 9.60114 5.3719
462500 9.49959 5.31817
465000 9.39888 5.27255
467500 9.2882 5.16515
470000 9.16996 5.0428
472500 9.05261 4.93234
475000 8.93865 4.83324
477500 8.81825 4.71281
480000 8.7076 4.57831
482500 8.59819 4.45595
485000 8.47969 4.35439
487500 8.35755 4.2604
490000 8.23519 4.1802
492500 8.11838 4.10841
495000 8.00637 4.05017
497500 7.89456 4.00115
500000 7.78542 3.96186
502500 7.68127 3.935
505000 7.57745 3.91994
507500 7.47881 3.9039
510000 7.39144 3.87597
512500 7.30595 3.86072
515000 7.22436 3.85294
517500 7.14295 3.8571
520000 7.06079 3.86967
522500 6.98136 3.89096
525000 6.90327 3.91939
527500 6.82684 3.95679
530000 6.76066 3.98354
532500 6.70462 4.01094
535000 6.64958 4.04835
537500 6.59362 4.09028
540000 6.53667 4.14195
542500 6.48658 4.18758
545000 6.44531 4.22837
547500 6.40845 4.27735
550000 6.37086 4.33221
552500 6.33045 4.3926
555000 6.31538 4.42926
557500 6.28871 4.43466
560000 6.28954 4.4246
562500 6.28195 4.38277
565000 6.26921 4.33358
567500 6.25682 4.29459
570000 6.25689 4.25039
572500 6.25785 4.21347
575000 6.25985 4.18569
577500 6.25252 4.14658
580000 6.24159 4.09585
582500 6.24262 4.03689
585000 6.24503 3.99166
587500 6.24621 3.95321
590000 6.24626 3.92359
592500 6.24695 3.90316
595000 6.2496 3.89042
597500 6.25133 3.88652
600000 6.2549 3.89039
602500 6.2588 3.90029
605000 6.26355 3.91728
607500 6.26608 3.94237
610000 6.26988 3.972
612500 6.27342 4.00967
