# time  av_DeltaF  std_DeltaF
2500 1.60653 0.64163
5000 2.43639 0.515963
7500 1.90903 0.503979
10000 1.4378 0.381972
12500 1.85138 0.354516
15000 2.12855 0.318561
17500 2.30023 0.287286
20000 2.38997 0.270067
22500 2.33517 0.306077
25000 2.1939 0.47119
27500 2.06426 0.460932
30000 1.82781 0.44985
32500 1.61562 0.404102
35000 1.65969 0.421328
37500 1.77518 0.416561
40000 1.88763 0.426634
42500 1.99611 0.417374
45000 2.09056 0.404593
47500 2.1725 0.392972
50000 2.24459 0.383726
52500 2.3029 0.373299
55000 2.351 0.360366
57500 2.3854 0.346877
60000 2.4074 0.338004
62500 2.41681 0.335794
65000 2.41525 0.346465
67500 2.40148 0.367152
70000 2.37449 0.374574
72500 2.33335 0.37778
75000 2.27287 0.39927
77500 2.21107 0.393071
80000 2.16823 0.391633
82500 2.14531 0.371587
85000 2.10914 0.363865
87500 2.06817 0.384093
90000 2.05987 0.40482
92500 2.08006 0.396465
95000 2.09786 0.38494
97500 2.1054 0.38685
100000 2.11249 0.394681
102500 2.12512 0.409792
105000 2.15213 0.420749
107500 2.19256 0.417495
110000 2.23323 0.412196
112500 2.27485 0.406448
115000 2.31367 0.400194
117500 2.35009 0.394366
120000 2.3842 0.389174
122500 2.41603 0.384813
125000 2.44605 0.38115
127500 2.47358 0.376162
130000 2.49972 0.372178
132500 2.52434 0.368133
135000 2.54756 0.365512
137500 2.56934 0.363737
140000 2.58962 0.362167
142500 2.60704 0.358709
145000 2.62162 0.355141
147500 2.63398 0.352771
150000 2.64426 0.3525
152500 2.65582 0.351406
155000 2.66723 0.347731
157500 2.67629 0.345046
160000 2.68395 0.341825
162500 2.68997 0.339696
165000 2.69387 0.33957
167500 2.69488 0.342605
170000 2.69225 0.350285
172500 2.68485 0.363457
175000 2.67406 0.383093
177500 2.66432 0.40165
180000 2.662 0.405808
182500 2.65956 0.410449
185000 2.6591 0.410267
187500 2.65966 0.402328
190000 2.65687 0.393976
192500 2.65109 0.385192
195000 2.64043 0.378721
197500 2.62484 0.375101
200000 2.60551 0.377161
202500 2.58698 0.381055
205000 2.569 0.384738
207500 2.55177 0.390172
210000 2.54047 0.391925
212500 2.52987 0.390455
215000 2.52146 0.384773
217500 2.50981 0.382225
220000 2.50023 0.379962
222500 2.48727 0.384386
225000 2.47117 0.394757
227500 2.45904 0.412415
230000 2.44729 0.435784
232500 2.43541 0.459617
235000 2.43346 0.465166
237500 2.43468 0.460972
240000 2.43377 0.457116
242500 2.43122 0.454525
245000 2.42967 0.449863
247500 2.4259 0.446293
250000 2.42328 0.443397
252500 2.42171 0.441343
255000 2.41924 0.442307
257500 2.41553 0.446597
260000 2.41313 0.44946
262500 2.41363 0.450964
265000 2.41875 0.448547
267500 2.42226 0.447827
270000 2.42514 0.448896
272500 2.42555 0.453615
275000 2.4279 0.46078
277500 2.43264 0.467565
280000 2.4399 0.473222
282500 2.45032 0.475691
285000 2.46025 0.47944
287500 2.47434 0.477105
290000 2.48819 0.474077
292500 2.50141 0.47081
295000 2.51447 0.467242
297500 2.52733 0.463395
300000 2.53951 0.459397
302500 2.55143 0.45507
305000 2.56276 0.450885
307500 2.57301 0.444968
310000 2.58272 0.439183
312500 2.59181 0.433691
315000 2.60054 0.428786
317500 2.60873 0.424449
320000 2.61582 0.420996
322500 2.62227 0.418649
325000 2.62841 0.417503
327500 2.63887 0.414576
330000 2.6482 0.410983
332500 2.65784 0.407239
335000 2.66693 0.40322
337500 2.67557 0.399296
340000 2.68402 0.395499
342500 2.69243 0.391691
345000 2.70062 0.388037
347500 2.70843 0.384764
350000 2.71613 0.381583
352500 2.72303 0.378419
355000 2.72978 0.375388
357500 2.73622 0.372566
360000 2.74235 0.370012
362500 2.74796 0.368041
365000 2.7533 0.366331
367500 2.75784 0.365616
370000 2.7641 0.362759
372500 2.77023 0.359706
375000 2.77608 0.356686
377500 2.78165 0.353728
380000 2.78716 0.350471
382500 2.79201 0.347039
385000 2.79636 0.343564
387500 2.80008 0.339796
390000 2.80332 0.336232
392500 2.80586 0.332285
395000 2.80847 0.328803
397500 2.81197 0.331039
400000 2.81502 0.333924
402500 2.81768 0.337012
405000 2.81983 0.340831
407500 2.82167 0.345108
410000 2.82303 0.350011
412500 2.82404 0.355569
415000 2.82448 0.361423
417500 2.82439 0.366775
420000 2.82443 0.37027
422500 2.82569 0.368495
425000 2.8267 0.366844
427500 2.82685 0.365126
430000 2.82863 0.364792
432500 2.8304 0.364712
435000 2.83153 0.364714
437500 2.83301 0.365482
440000 2.83452 0.366787
442500 2.83552 0.368547
445000 2.83625 0.371004
447500 2.83609 0.374291
450000 2.8359 0.378136
452500 2.8369 0.381925
455000 2.8383 0.38573
457500 2.83937 0.390139
460000 2.84045 0.394565
462500 2.84092 0.400371
465000 2.84128 0.406313
467500 2.84337 0.407757
470000 2.84572 0.408163
472500 2.84778 0.408842
475000 2.84965 0.409705
477500 2.85158 0.410676
480000 2.85427 0.411837
482500 2.85674 0.413488
485000 2.8586 0.414844
487500 2.86034 0.416256
490000 2.86164 0.418257
492500 2.86265 0.420584
495000 2.86359 0.423115
497500 2.86411 0.426279
500000 2.86454 0.429507
502500 2.86457 0.433079
505000 2.86416 0.437261
507500 2.86416 0.440071
510000 2.86513 0.440187
512500 2.86569 0.440309
515000 2.866 0.440688
517500 2.86593 0.441268
520000 2.86528 0.442006
522500 2.86415 0.443269
525000 2.86264 0.444625
527500 2.86079 0.446457
530000 2.85996 0.446791
532500 2.85956 0.446287
535000 2.85868 0.446106
537500 2.85725 0.446208
540000 2.85514 0.4467
542500 2.85344 0.447088
545000 2.85262 0.447184
547500 2.85144 0.447817
550000 2.84963 0.448975
552500 2.84723 0.450717
555000 2.84702 0.450732
557500 2.84663 0.450242
