# time  DeltaF
2500 15.5279
5000 8.42687
7500 3.49771
10000 0.41108
12500 -0.912097
15000 -1.47564
17500 -1.1218
20000 -0.451071
22500 0.0450173
25000 0.456447
27500 0.737761
30000 0.977565
32500 1.18267
35000 1.37239
37500 1.52304
40000 1.65425
42500 1.77882
45000 1.8915
47500 1.98402
50000 2.07094
52500 2.14378
55000 2.21432
57500 2.28557
60000 2.35186
62500 2.40774
65000 2.46057
67500 2.51358
70000 2.56464
72500 2.61537
75000 2.66275
77500 2.70894
80000 2.75278
82500 2.79406
85000 2.83051
87500 2.8683
90000 2.90241
92500 2.93751
95000 2.97489
97500 3.00585
100000 3.03351
102500 3.06424
105000 3.09173
107500 3.11876
110000 3.14423
112500 3.17054
115000 3.19593
117500 3.22241
120000 3.24577
122500 3.26976
125000 3.29141
127500 3.31433
130000 3.3352
132500 3.35548
135000 3.37629
137500 3.39626
140000 3.41545
142500 3.43444
145000 3.45489
147500 3.47347
150000 3.49252
152500 3.51039
155000 3.52767
157500 3.54543
160000 3.56387
162500 3.57989
165000 3.59674
167500 3.61276
170000 3.62721
172500 3.64077
175000 3.65578
177500 3.67079
180000 3.68475
182500 3.69813
185000 3.7116
187500 3.72553
190000 3.73873
192500 3.75131
195000 3.76417
197500 3.77683
200000 3.79023
202500 3.80349
205000 3.81601
207500 3.82878
210000 3.84222
212500 3.85525
215000 3.86741
217500 3.8781
220000 3.88918
222500 3.90164
225000 3.91327
227500 3.92501
230000 3.93633
232500 3.94711
235000 3.95837
237500 3.96948
240000 3.98012
242500 3.99149
245000 4.00297
247500 4.01359
250000 4.02427
252500 4.03536
255000 4.04585
257500 4.05616
260000 4.06708
262500 4.07653
265000 4.0866
267500 4.0967
270000 4.10682
272500 4.11514
275000 4.12461
277500 4.13397
280000 4.14347
282500 4.15311
285000 4.16278
287500 4.17241
290000 4.18119
292500 4.18966
295000 4.19862
297500 4.20732
300000 4.21685
302500 4.22565
305000 4.23424
307500 4.24346
310000 4.25203
312500 4.25998
315000 4.26826
317500 4.27658
320000 4.28531
322500 4.29389
325000 4.30259
327500 4.31059
330000 4.31883
332500 4.32661
335000 4.33468
337500 4.34278
340000 4.3509
342500 4.35807
345000 4.36622
347500 4.3746
350000 4.38233
352500 4.38962
355000 4.39744
357500 4.40511
360000 4.4119
362500 4.41956
365000 4.42689
367500 4.43406
370000 4.44101
372500 4.448
375000 4.45488
377500 4.46214
380000 4.4691
382500 4.47617
385000 4.48332
387500 4.48969
390000 4.49629
392500 4.50312
395000 4.51001
397500 4.51685
400000 4.52337
402500 4.52967
405000 4.53581
407500 4.54223
410000 4.54836
412500 4.55489
415000 4.56112
417500 4.5672
420000 4.57322
422500 4.57917
425000 4.58562
427500 4.59196
430000 4.5982
432500 4.60412
435000 4.61029
437500 4.61609
440000 4.62263
442500 4.62843
445000 4.6345
447500 4.64025
450000 4.64557
452500 4.65134
455000 4.65708
457500 4.6626
460000 4.66815
462500 4.67446
465000 4.67974
467500 4.6853
470000 4.6907
472500 4.6959
475000 4.70184
477500 4.70784
480000 4.71325
482500 4.71878
485000 4.72428
487500 4.72933
490000 4.73518
492500 4.74079
495000 4.74613
497500 4.75185
500000 4.7574
502500 4.76286
505000 4.76803
507500 4.77354
510000 4.77904
512500 4.78383
515000 4.78894
517500 4.79408
520000 4.79899
522500 4.8041
525000 4.80902
527500 4.81378
530000 4.81883
532500 4.82391
535000 4.8286
537500 4.8335
540000 4.83814
542500 4.84276
545000 4.84731
547500 4.85203
550000 4.85669
552500 4.86197
555000 4.86669
557500 4.87137
560000 4.87646
562500 4.88123
565000 4.88583
567500 4.89047
570000 4.89495
572500 4.89946
575000 4.90382
577500 4.90818
580000 4.91264
582500 4.91718
585000 4.92162
587500 4.92618
590000 4.93042
592500 4.93465
595000 4.93892
597500 4.94352
600000 4.94803
602500 4.95245
605000 4.95639
607500 4.9604
610000 4.96453
612500 4.96886
615000 4.97312
617500 4.977
620000 4.98099
622500 4.98534
625000 4.98936
627500 4.99315
630000 4.99745
632500 5.00131
635000 5.00576
637500 5.00964
640000 5.01358
642500 5.01757
645000 5.02165
647500 5.02572
650000 5.02942
652500 5.03335
655000 5.03706
657500 5.04089
660000 5.04472
662500 5.04849
665000 5.05233
667500 5.05613
670000 5.05971
672500 5.06359
675000 5.06787
677500 5.07154
680000 5.07518
682500 5.07911
685000 5.08297
687500 5.0865
690000 5.09025
692500 5.09418
695000 5.09778
697500 5.1015
700000 5.10498
702500 5.10834
705000 5.11181
707500 5.11549
710000 5.11942
712500 5.12356
715000 5.12728
717500 5.13101
720000 5.13448
722500 5.13832
725000 5.1416
727500 5.14527
