# time  DeltaF
2500 18.8503
5000 12.6182
7500 8.03712
10000 4.54548
12500 1.81172
15000 0.28239
17500 -0.532999
20000 -1.06951
22500 -1.38637
25000 -0.886775
27500 -0.462346
30000 -0.110987
32500 0.184687
35000 0.44709
37500 0.689729
40000 0.894162
42500 1.06683
45000 1.2235
47500 1.36408
50000 1.48869
52500 1.59438
55000 1.69028
57500 1.77643
60000 1.85632
62500 1.92829
65000 1.99511
67500 2.06315
70000 2.12543
72500 2.18619
75000 2.24151
77500 2.29795
80000 2.3488
82500 2.39592
85000 2.43798
87500 2.48883
90000 2.53221
92500 2.57489
95000 2.61569
97500 2.65118
100000 2.68471
102500 2.7122
105000 2.73805
107500 2.76315
110000 2.78965
112500 2.81246
115000 2.83586
117500 2.8603
120000 2.88338
122500 2.90507
125000 2.92751
127500 2.9496
130000 2.97051
132500 2.99106
135000 3.01113
137500 3.03131
140000 3.05218
142500 3.07175
145000 3.08992
147500 3.11042
150000 3.12886
152500 3.14885
155000 3.16775
157500 3.18614
160000 3.20324
162500 3.22013
165000 3.23682
167500 3.25449
170000 3.2705
172500 3.28678
175000 3.3029
177500 3.31889
180000 3.33489
182500 3.35041
185000 3.36593
187500 3.38029
190000 3.39575
192500 3.41039
195000 3.42544
197500 3.44035
200000 3.45429
202500 3.46675
205000 3.48019
207500 3.49201
210000 3.50543
212500 3.51807
215000 3.53025
217500 3.54235
220000 3.55481
222500 3.56712
225000 3.57913
227500 3.59062
230000 3.60229
232500 3.61312
235000 3.62372
237500 3.63566
240000 3.64759
242500 3.65851
245000 3.66991
247500 3.68045
250000 3.69068
252500 3.70124
255000 3.71208
257500 3.72226
260000 3.73251
262500 3.74175
265000 3.75156
267500 3.76082
270000 3.77042
272500 3.7796
275000 3.78927
277500 3.7991
280000 3.80889
282500 3.81886
285000 3.82908
287500 3.8377
290000 3.8467
292500 3.85582
295000 3.86457
297500 3.87299
300000 3.88231
302500 3.89085
305000 3.89954
307500 3.90791
310000 3.91713
312500 3.92571
315000 3.93381
317500 3.94253
320000 3.95054
322500 3.95863
325000 3.96687
327500 3.97531
330000 3.98406
332500 3.99174
335000 3.99967
337500 4.00774
340000 4.01574
342500 4.02308
345000 4.03121
347500 4.03942
350000 4.04701
352500 4.05456
355000 4.06186
357500 4.06885
360000 4.07634
362500 4.08354
365000 4.09047
367500 4.09735
370000 4.10444
372500 4.11122
375000 4.11787
377500 4.12505
380000 4.13208
382500 4.13892
385000 4.1456
387500 4.15258
390000 4.15957
392500 4.16704
395000 4.1733
397500 4.18006
400000 4.18683
402500 4.19304
405000 4.19938
407500 4.2053
410000 4.21113
412500 4.21722
415000 4.22298
417500 4.22868
420000 4.2346
422500 4.24028
425000 4.24635
427500 4.25282
430000 4.25874
432500 4.26454
435000 4.27042
437500 4.27646
440000 4.28176
442500 4.28775
445000 4.2936
447500 4.29907
450000 4.30459
452500 4.30992
455000 4.31489
457500 4.32076
460000 4.32627
462500 4.33198
465000 4.33745
467500 4.34304
470000 4.3485
472500 4.35372
475000 4.35909
477500 4.36475
480000 4.36995
482500 4.3758
485000 4.3809
487500 4.38592
490000 4.391
492500 4.39565
495000 4.40055
497500 4.40578
500000 4.41097
502500 4.41586
505000 4.42105
507500 4.42631
510000 4.43161
512500 4.43635
515000 4.44126
517500 4.44632
520000 4.45132
522500 4.45618
525000 4.46098
527500 4.46607
530000 4.47099
532500 4.47613
535000 4.48096
537500 4.48574
540000 4.49047
542500 4.49492
545000 4.49949
547500 4.50449
550000 4.50939
552500 4.51384
555000 4.51877
557500 4.52328
560000 4.52754
562500 4.53214
565000 4.53679
567500 4.54139
570000 4.54614
572500 4.55023
575000 4.55438
577500 4.55886
580000 4.56356
582500 4.56796
585000 4.57217
587500 4.57651
590000 4.58069
592500 4.58486
595000 4.5887
597500 4.59323
600000 4.59759
602500 4.60186
605000 4.60618
607500 4.61066
610000 4.61504
612500 4.61918
615000 4.6233
617500 4.62775
620000 4.63174
622500 4.6358
625000 4.64002
