# time  av_DeltaF  std_DeltaF
2500 17.7294 5.59351
5000 16.1702 6.49633
7500 14.3234 6.79211
10000 12.7438 7.04467
12500 11.4185 7.2198
15000 10.3175 7.35111
17500 9.38678 7.37385
20000 8.65918 7.19775
22500 7.99976 7.06683
25000 7.3851 6.87349
27500 6.8131 6.7015
30000 6.31051 6.50984
32500 5.87753 6.32297
35000 5.50032 6.14863
37500 5.2164 5.94617
40000 4.99758 5.73819
42500 4.8211 5.5245
45000 4.65485 5.33147
47500 4.52913 5.12881
50000 4.41462 4.93187
52500 4.30277 4.744
55000 4.21669 4.56445
57500 4.14993 4.36662
60000 4.09209 4.17911
62500 4.03028 4.00631
65000 3.97089 3.84968
67500 3.91563 3.70558
70000 3.8642 3.56244
72500 3.82859 3.41302
75000 3.78957 3.27326
77500 3.75068 3.15027
80000 3.74021 3.0094
82500 3.73426 2.86385
85000 3.7219 2.73003
87500 3.70915 2.61
90000 3.69491 2.49826
92500 3.68166 2.39546
95000 3.68776 2.29723
97500 3.68799 2.20852
100000 3.68352 2.12448
102500 3.67933 2.05201
105000 3.67106 1.98443
107500 3.66282 1.9258
110000 3.65596 1.87489
112500 3.64701 1.83103
115000 3.63678 1.79302
117500 3.62772 1.76251
120000 3.61528 1.73879
122500 3.60336 1.72106
125000 3.59197 1.71041
127500 3.58073 1.703
130000 3.5701 1.70351
132500 3.56076 1.7057
135000 3.55137 1.71138
137500 3.54133 1.72201
140000 3.533 1.73585
142500 3.52465 1.7528
145000 3.51599 1.77148
147500 3.50952 1.79093
150000 3.50176 1.8116
152500 3.49395 1.83428
155000 3.48664 1.85755
157500 3.48414 1.87877
160000 3.49325 1.89269
162500 3.50088 1.90601
165000 3.52312 1.89024
167500 3.54683 1.87494
170000 3.56865 1.86218
172500 3.58937 1.85257
175000 3.60892 1.84484
177500 3.62713 1.83948
180000 3.6445 1.83614
182500 3.66135 1.83366
185000 3.67735 1.83272
187500 3.69275 1.83367
190000 3.70828 1.83429
192500 3.72831 1.82808
195000 3.754 1.81366
197500 3.77801 1.80155
200000 3.79985 1.79163
202500 3.82114 1.78238
205000 3.84208 1.77387
207500 3.86243 1.76602
210000 3.88152 1.75945
212500 3.90068 1.75297
215000 3.91909 1.74703
217500 3.93653 1.74184
220000 3.95378 1.73666
222500 3.97062 1.7322
225000 3.98709 1.72814
227500 4.00298 1.72466
230000 4.01861 1.72116
232500 4.03363 1.71808
235000 4.04835 1.71558
237500 4.06271 1.71291
240000 4.0769 1.71047
242500 4.0909 1.70848
245000 4.10481 1.70637
247500 4.11825 1.70448
250000 4.13133 1.70314
252500 4.14437 1.70177
255000 4.15697 1.70032
