# time  av_DeltaF  std_DeltaF
2500 18.5394 5.9917
5000 16.5655 6.81806
7500 14.504 7.05176
10000 12.8578 7.29444
12500 11.4972 7.45445
15000 10.3655 7.56346
17500 9.39179 7.54459
20000 8.63597 7.34755
22500 7.93745 7.16088
25000 7.29675 6.93409
27500 6.71164 6.73494
30000 6.19709 6.53014
32500 5.75935 6.33595
35000 5.38064 6.15599
37500 5.09544 5.95056
40000 4.87734 5.74022
42500 4.70056 5.52609
45000 4.53461 5.331
47500 4.40872 5.12856
50000 4.29347 4.93245
52500 4.18055 4.74454
55000 4.09243 4.56638
57500 4.02331 4.37044
60000 3.96441 4.18359
62500 3.90302 4.01027
65000 3.84382 3.85241
67500 3.78919 3.70654
70000 3.73763 3.56232
72500 3.70111 3.41353
75000 3.66182 3.27337
77500 3.62332 3.14919
80000 3.61187 3.00853
82500 3.60553 2.86301
85000 3.5936 2.72794
87500 3.58118 2.6071
90000 3.56723 2.49411
92500 3.554 2.39011
95000 3.55999 2.29039
97500 3.56061 2.2003
100000 3.55665 2.11481
102500 3.55287 2.04082
105000 3.54514 1.97194
107500 3.53715 1.91214
110000 3.53059 1.86029
112500 3.52176 1.81554
115000 3.51165 1.77638
117500 3.5028 1.74509
120000 3.4904 1.72076
122500 3.47882 1.70274
125000 3.46785 1.69171
127500 3.45683 1.68377
130000 3.44662 1.68389
132500 3.43766 1.68593
135000 3.42859 1.6913
137500 3.41889 1.70179
140000 3.41074 1.71524
142500 3.40268 1.732
145000 3.39433 1.75053
147500 3.38814 1.76992
150000 3.38086 1.7904
152500 3.37355 1.81289
155000 3.36672 1.83598
157500 3.36444 1.85715
160000 3.37379 1.8707
162500 3.38198 1.88373
165000 3.4037 1.86946
167500 3.42707 1.85517
170000 3.44888 1.84287
172500 3.46959 1.83346
175000 3.48936 1.82558
177500 3.50803 1.81972
180000 3.52594 1.81577
182500 3.54328 1.8127
185000 3.55973 1.81124
187500 3.57547 1.81182
190000 3.59138 1.81199
192500 3.61141 1.80587
195000 3.63699 1.79163
197500 3.66111 1.77939
200000 3.68318 1.76915
202500 3.70466 1.75972
205000 3.72585 1.75092
207500 3.74637 1.74275
210000 3.76575 1.73579
212500 3.78509 1.7289
215000 3.8038 1.72257
217500 3.82142 1.71713
220000 3.8389 1.71163
222500 3.85598 1.70684
225000 3.87268 1.70249
227500 3.88875 1.69872
230000 3.90448 1.695
232500 3.91967 1.69169
235000 3.93459 1.68891
237500 3.94909 1.68601
240000 3.96332 1.68341
242500 3.97742 1.68126
245000 3.99142 1.67895
247500 4.00496 1.6769
250000 4.01813 1.67537
252500 4.03125 1.67386
255000 4.04392 1.67222
257500 4.05644 1.6708
260000 4.06835 1.66981
262500 4.08007 1.66898
265000 4.09214 1.66802
267500 4.10364 1.66715
270000 4.11523 1.66634
272500 4.12628 1.66583
275000 4.13717 1.66554
277500 4.14805 1.66524
280000 4.15871 1.6652
282500 4.16908 1.66524
285000 4.17952 1.66509
287500 4.18951 1.6655
290000 4.19943 1.66567
292500 4.20916 1.66599
295000 4.2188 1.6663
297500 4.22828 1.66683
300000 4.23757 1.66723
302500 4.24671 1.66755
305000 4.25591 1.66825
307500 4.26487 1.66889
310000 4.27381 1.66943
312500 4.2825 1.6702
315000 4.29135 1.67089
317500 4.301 1.66994
320000 4.31093 1.66801
322500 4.32037 1.66595
325000 4.3294 1.66404
327500 4.33802 1.66223
330000 4.34655 1.6603
332500 4.35508 1.6585
335000 4.36353 1.65674
337500 4.3716 1.65509
340000 4.37973 1.65349
342500 4.38782 1.65198
345000 4.39577 1.65052
347500 4.40347 1.64904
350000 4.41113 1.64771
352500 4.4186 1.64647
355000 4.42606 1.64523
357500 4.43348 1.64399
360000 4.44069 1.64286
362500 4.44784 1.64166
365000 4.45499 1.64084
367500 4.46211 1.63975
370000 4.46913 1.63882
372500 4.47595 1.63784
375000 4.4828 1.63692
377500 4.48959 1.63609
380000 4.49653 1.63524
382500 4.5032 1.63441
385000 4.50981 1.63355
387500 4.51634 1.63282
390000 4.52279 1.63219
392500 4.52921 1.63161
395000 4.53568 1.63096
397500 4.54199 1.63043
400000 4.54825 1.62976
402500 4.55438 1.62921
405000 4.56055 1.62864
407500 4.56662 1.62811
410000 4.57263 1.62764
412500 4.57856 1.62714
415000 4.58439 1.62663
417500 4.59009 1.62625
420000 4.59594 1.6257
422500 4.60132 1.62548
425000 4.60645 1.62544
427500 4.61157 1.62552
430000 4.61657 1.62559
432500 4.6215 1.62572
435000 4.62641 1.62578
437500 4.63123 1.62594
440000 4.63601 1.62609
442500 4.64084 1.62638
